消耗性资产名称,编码,名称,商家/厂家/品牌,批号/编号/标识,规格型号,批次备注,验检入库编号,有效期至,来源,入库总量,入库单位,领用要求,入库备注,房间名称,箱柜屉架,隔板层数,领用出库编号,出库数量,出库单位,出库备注,库存数量,单位,备注说明1,备注说明2
GLS高氯酸,J2,危险化学品,艾科试剂,201807201,AR500ml,,,,返还,250,mL,五双,,203,203G-05,1,,,,,250,mL,易制爆,补返还
硝酸镁，六水,J2,危险化学品,国药,20250523,AR500g,,KDY/KDY-250807-YZH/ZFY-J2-005；WYH/SYY-250828-YZH/ZFY-J2-002,,购置,500,g,五双,,203,203G-05,1,YZH/ZFY-250828-WYH/SYY-J2-002,0.5,g,,499.5,g,易制爆,
30%过氧化氢,J2,危险化学品,国药,20250513,AR500mL,,KDY/KDY-250807-YZH/ZFY-J2-006,,购置,500,mL,五双,,203,203G-05,2,,,,,500,mL,易制爆,
30%过氧化氢,J2,危险化学品,国药,20250612,GR500mL,,KDY/KDY-250807-YZH/ZFY-J2-007,,购置,1000,mL,五双,,203,203G-05,2,,,,,1000,mL,易制爆,
四氯化钛,J2,危险化学品,国药,20150127,CP500ml,,,,购置,1,瓶,五双,,203,203G-08,1,,,,,1,瓶,,
氢氟酸,J2,危险化学品,凌峰化学,20180511,AR500ml,,,,购置,1,瓶,五双,,203,203G-08,1,,,,,1,瓶,,
三氟乙酸,J2,危险化学品,国药,20140903,CP100ml,,,,购置,1,瓶,五双,,203,203G-08,1,,,,,1,瓶,,
乙酸,J2,危险化学品,凌峰化学,20170912,500ml,,,,购置,6,瓶,五双,,203,203G-08,1,,,,,6,瓶,,2022.07.01从常规移
磷酸,J2,危险化学品,江苏强盛,20151005,AR500ml,,XQN/ZFY-250724-YZH/PXQ-J2-003；YZH/ZFY-250926-SYY/WYH-J2-007；,,购置,1000,mL,五双,,203,203G-08,1,YZH/PXQ-250724-XQN/ZFY-J2-009；SYY/WYH-250926-YZH/ZFY-J2-007；,20.4,ml,,979.6,mL,,
磷酸,J2,危险化学品,江苏强盛,20140702,AR500ml,,,,购置,3,瓶,五双,,203,203G-08,1,,,,,3,瓶,,
磷酸,J2,危险化学品,国药,20141104,AR500ml,,,,购置,1,瓶,五双,,203,203G-08,1,MYM/QHJ-220701-MYM-J2-001,1,瓶,,,,,
磷酸,J2,危险化学品,国药,20141104,AR500ml,,,,返还,,mL,五双,,203,203G-08,1,,,,,,,,
三氯化钛,J2,危险化学品,润捷化学,20151101,AR500ml,,,,购置,1,瓶,五双,,203,203G-08,1,,,,,1,瓶,,2022.09.15转来
三氯化钛,J2,危险化学品,国药,20141113,AR500ml,,,,购置,1,瓶,五双,已开,203,203G-08,1,,,,,1,瓶,,2022.09.15转来
次氯酸钠溶液,J2,危险化学品,西陇科学（化工）,150531  2,AR500ml,,,,购置,17,瓶,五双,原来16,203,203G-08,2,MYM-220725-MYM-J1-001,17,瓶,,,,,2022.09.15转来
次氯酸钠溶液,J2,危险化学品,江苏强盛,20151005,CP500ml,,,,购置,1,瓶,五双,,203,203G-08,2,MYM-220725-MYM-J1-002,1,瓶,,,,,2022.09.15转来
次氯酸钠溶液,J2,危险化学品,国药,20150114,CP500ml,,,,购置,1,瓶,五双,,203,203G-08,2,MYM-220725-MYM-J1-003,1,瓶,,,,,2022.09.15转来
次氯酸钠溶液,J2,危险化学品,国药,20190218/20190508,CP500ml,,,,购置,2,瓶,五双,,203,203G-08,2,WJS-220214-MYM-J1-001；MYM/QHJ-221213-CJF/MYM-J2-001,2,瓶,,,,,2022.09.15转来
无水乙醇,J2,危险化学品,凌峰化学,20190829,500ml,,CYQ/LMI-240912-CYQ/LMI-J2-006；YZH/ZFY-250516-PXQ/PKF-J2-005；YZH/ZFY-250616-PXQ/PKF-J2-004；ZFY/WYH-250925-YZH/LDC-J2-002；,,购置,3000,mL,五双,,203,203G-08,2,WJS-220314-WJS-J1-001；MYM-220808-MYM-J1-003；QHJ/MYM-220926-MYM/WXY-J2-001；MYM/QHJ-221220-MYM/CJF-J2-001；QHJ/MYM-230216-MYM/CJF-J2-003；QHJ/MYM-230504-MYM/CJF-J2-001；QHJ/MYM-230714-MYM/CJF-J2-001；QHJ/ZHD-20231122-QDJ/WWY-J2-001，CYQ/LMI-240912-CYQ/LMI-J2-006；HYI/QDJ-241108-HYI/QDJ-J2-002;PXQ/PKF-250516-YZH/ZFY-J2-005；PXQ/PKF-250612-YZH/ZFY-J2-004；YZH/LDC-250925-ZFY/WYH-J2-002；,145,mL,,2855,mL,,2022.09.15转来，隔板层数改3为2
乙酰丙酮,J2,危险化学品,艾科试剂,201811161,500ml,,,,购置,2,瓶,五双,,203,203G-08,3,,,,,2,瓶,,2022.09.15转来
乙酰丙酮,J2,危险化学品,国药,20150120,500ml,,,,购置,1,瓶,五双,避光,203,203G-08,3,,,,,1,瓶,,2022.09.15转来
氨水,J2,危险化学品,罗恩试剂,/,500ml,,YZH/ZFY-250516-PXQ/PKF-J2-001；YZH/ZFY-250616-PXQ/PKF-J2-001；SYY/ZFY-250619-PKF/PXQ-J2-001；SYY/WYH-250926-YZH/ZFY-J2-008；WYH/YZH-251124-YZH/WYH-J2-005；,,购置,500,mL,五双,已开，避光,203,203G-08,3,PXQ/PKF-250516-YZH/ZFY-J2-006；PXQ/PKF-250612-YZH/ZFY-J2-001；PKF/PXQ-250619-SYY/ZFY-J2-002；YZH/ZFY-250926-SYY/WYH-J2-008；YZH/WYH-251124-WYH/YZH-J2-006；,470,mL,,30,mL,,2022.09.15转来
氨水,J2,危险化学品,阿拉丁,H21127120,500ml,,,,购置,2,瓶,五双,避光,203,203G-08,3,MYM-220913-MYM-J1-001，QHJ/CJF-230828-CJF/QYT-J2-001,2,瓶,,,,,2022.09.15转来
溴酸钾,J2,危险化学品,艾科试剂,201903221,AR500g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
硫脲,J2,危险化学品,凌峰化学,20170927,AR500g,,,,购置,3,瓶,五双,,203,203G-08,4,,,,,3,瓶,,2022.09.15转来
氟化钠,J2,危险化学品,国药,20141104,AR500g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
氟化钠,J2,危险化学品,西陇/光复化工,150320 1/20150513,AR500g,,,,购置,2,瓶,五双,,203,203G-08,4,,,,,2,瓶,,2022.09.15转来
对苯二酚,J2,危险化学品,润捷化学,20151101,AR250g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
氨基磺酸,J2,危险化学品,西亚化学,Y44393,AR100g,,,,购置,1,瓶,五双,已开,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
氨基磺酸,J2,危险化学品,凌峰化学,20150204,AR100g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
二水合氟化钾,J2,危险化学品,国药,20150104,AR500g,,,,购置,1,瓶,五双,原名字写错,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
六水合三氯化铁,J2,危险化学品,国药,20180118,AR500g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
八水合氢氧化钡,J2,危险化学品,国药,20150115,AR500g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
低亚硫酸钠（保险粉）,J2,危险化学品,国药,20141112,AR500g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
高硼酸钠.四水(过硼酸钠）,J2,危险化学品,国药,20141112,AR500g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
"硝酸镧,n水合",J2,危险化学品,国药,20141203,25g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
次氯酸钙,J2,危险化学品,国药,20141113,50g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,"2022.09.15转来
251211已开封约剩余0.25瓶"
二氯苯酚,J2,危险化学品,/,30215AC,"100ng/mL,1.1mL",,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
六氯乙烷,J2,危险化学品,西亚化学,G5212,5g,,,,购置,1,瓶,五双,,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
碘酸钾,J2,危险化学品,国药,20140923,500g,,,,购置,1,瓶,五双,避光,203,203G-08,4,,,,,1,瓶,,2022.09.15转来
四氯乙烷,J2,危险化学品,国药,20150107,AR500ml,,,,购置,1,瓶,五双,,203,203G-02,4,,,,,1,瓶,,2022.09.15转来
过硫酸钾,J2,危险化学品,西亚化学,20200911,AR500g,,,,购置,4,瓶,五双,,203,203G-08,4,MYM-220816-MYM-J1-001,1,瓶,,3,瓶,,
氟化钾，无水,J2,危险化学品,西亚化学,20190217,AR500g,,,,购置,1,瓶,五双,避光,203,203G-08,5,,,,,1,瓶,,2022.09.15转来
氯化锌,J2,危险化学品,西陇和国药,150528/20150107,AR500g,,,,购置,6,瓶,五双,原来少1,203,203G-08,5,,,,,6,瓶,,2022.09.15转来
氯化锌,J2,危险化学品,艾科试剂,201808241,AR500g,,,,购置,2,瓶,五双,,203,203G-08,5,,,,,2,瓶,,2022.09.15转来
过硼酸钠,J2,危险化学品,艾科试剂,201808181,AR500g,,,,购置,1,瓶,五双,已开,203,203G-08,5,,,,,1,瓶,,2022.09.15转来
硼酸,J2,危险化学品,国药,20150109,500g,,,,购置,1,瓶,五双,避光,203,203G-08,5,,,,,1,瓶,,
铬酸钾,J2,危险化学品,国药与西亚,20141117/20190125/20210520,500g,,,,购置,3,瓶,五双,,203,203G-08,5,,,,,3,瓶,,2022.09.15转来
氢氧化钠,J2,危险化学品,/,B1617998908,500g,,,,购置,3,瓶,五双,,203,203G-08,5,,,,,3,瓶,,2022.09.15转来
氢氧化钠,J2,危险化学品,艾科试剂,201808071,500g,,,,购置,1,瓶,五双,,203,203G-08,5,,,,,1,瓶,,2022.09.15转来
正己烷,J2,危险化学品,科密欧,20171113,500ml,,,,购置,1,瓶,五双,,203,203G-02,1,QHJ/MYM-230303-MYM/CJF-J2-001,1,瓶,,,,,2022.09.15转来
正己烷,J2,危险化学品,阿拉丁,E1914073,500ml,,,,购置,8,瓶,五双,,203,203G-02,1,,,,,8,瓶,,"2022.09.15转来
251211一瓶已开封约剩余0.5瓶"
正己烷,J2,危险化学品,西陇科学（化工）,150420 2,500ml,,,,购置,1,瓶,五双,已开,203,203G-02,1,QHJ/MYM-230720-MYM/QHG-J2-004,1,瓶,,,,,
正己烷,J2,危险化学品,西陇科学（化工）,150205 1,500ml,,,,购置,10,瓶,五双,已挥发，瓶子里很少,203,203G-02,1,MYM-220914-MYM-J1-003,2,瓶,,8,瓶,,"2022.09.15转来
251211一瓶开封约剩余0.3瓶"
正己烷,J2,危险化学品,艾科试剂,201903151,500ml,,WYH/SYY-250926-YZH/ZFY-J2-010,,购置,1,瓶,五双,,203,203G-02,1, ,1,瓶,,,,,2022.09.15转来
甲醇,J2,危险化学品,国药,201901258,500ml,,YZH/SYY-250724-ZFY/PXQ-J2-010；YZH/SYY-250728-ZFY/PXQ-J2-002；YZH/SYY-250822-LDC/ZFY-J2-002；YZH/SYY-250826-LDC/ZFY-J2-002；YZH/SYY-250901-LDC/ZFY-J2-003；YZH/SYY-250902-LDC/ZFY-J2-001,,购置,4000,mL,五双,,203,203G-02,3,PKF/PXQ-250626-YZH/ZFY-J2-019；PKF/PXQ-250711-YZH/ZFY-J2-002；ZFY/PXQ-250716-YZH/SYY-J2-007；ZFY/PXQ-250717-YZH/SYY-J2-001；ZFY/PXQ-250724-YZH/SYY-J2-016；PXQ/ZFY-250728-YZH/SYY-J2-002；LDC/ZFY-250822-YZH/SYY-J2-002；LDC/ZFY-250825-YZH/SYY-J2-001；LDC/ZFY-250826-YZH/SYY-J2-002；LDC/ZFY-250901-YZH/SYY-J2-003；LDC/ZFY-250902-YZH/SYY-J2-001；LDC/ZFY-250904-YZH/SYY-J2-001,4000,mL,,,,,2022.09.15转来
二甲苯,J2,危险化学品,西陇科学（化工）,150525 2/150329 2,AR500ml,,WYH/YZH-251125-YZH/WYH-J2-001,,购置,4,瓶,五双,,203,203G-02,3,,,,,4,瓶,,"2022.09.15转来
251211一瓶已开封约剩余0.7瓶"
二甲苯,J2,危险化学品,润捷化学,20161201,AR500ml,,,,购置,3,瓶,五双,,203,203G-02,3,YZH/WYH-251125-WYH/YZH-J2-001,2,瓶,,1,瓶,,2022.09.15转来
二氯甲烷,J2,危险化学品,科密欧,20170928,500ml,,,,购置,1,瓶,五双,已开,203,203G-02,4,QHJ/MYM-230206-MYM/CJF-J2-001,1,瓶,,,,,2022.09.15转来
"2,2,4-三甲基戊烷(异辛烷）",J2,危险化学品,国药,20141216,500ml,,,,购置,1,瓶,五双,,203,203G-02,4,,,,,1,瓶,,2022.09.15转来
硝基苯,J2,危险化学品,江苏强盛,20150301,500ml,,,,购置,1,瓶,五双,,203,203G-02,4,,,,,1,瓶,,2022.09.15转来
四氢呋喃,J2,危险化学品,国药与艾科,201810241/20141203,500ml,,,,购置,6,瓶,五双,避光,203,203G-02,4,MYM-220914-MYM-J1-002,1,瓶,,5,瓶,,2022.09.15转来
乙酸乙酯,J2,危险化学品,艾科试剂,201808181,500ml,,,,购置,3,瓶,五双,原来写的4瓶，,203,203G-02,4,,,,,3,瓶,,2022.09.15转来
异丙醇,J2,危险化学品,/,R667K096,4L,,CYQ/LMI-240912-CYQ/LMI-J2-005；CYQ/LMI-240919-CYQ/LMI-J2-002,,购置,4000,mL,五双,已开，避光,203,203G-02,5,CYQ/LMI-240912-CYQ/LMI-J2-005；CYQ/LMI-240912-CYQ/LMI-J2-003,220,mL,,3780,mL,,2022.09.15转来
乙腈,J2,危险化学品,/,16055012,4L,,,,购置,2,瓶,五双,已开，避光,203,203G-02,5,MYM-220823-QH-J1-001；QHJ/MYM-230216-MYM/CJF-J2-001；LMI-20240929-LMI-J2-001,2,瓶,,,,,2022.09.15转来
正己烷,J2,危险化学品,/,20170430/S585K192,4L,,,,购置,2,瓶,五双,已开，避光,203,203G-02,5,,,,,2,瓶,,2022.09.15转来
二氯甲烷,J2,危险化学品,/,13015054,4L,,YZH/ZFY-250616-PXQ/PKF-J2-006；,,购置,4,L,五双,已开，避光,203,203G-02,5,PXQ/PKF-250612-YZH/ZFY-J2-006；,0.32,L,,3.68,L,,2022.09.15转来
甲基叔丁基醚,J2,危险化学品,国药,20180419,2.5L,,YZH/ZFY-250625-PKF/PXQ-J2-011；YZH/ZFY-250626-PKF/PXQ-J2-010；YZH/ZFY-250627-PKF/PXQ-J2-013；YZH/SYY-250822-LDC/ZFY-J2-001；YZH/SYY-250912-LDC/ZFY-J2-001；YZH/SYY-250918-LDC/ZFY-J2-003；WYH/SYY-251017-YZH/LDC-J2-001；,,购置,2500,mL,五双,已开，避光,203,203G-02,5,PKF/PXQ-250625-YZH/ZFY-J2-024；PKF/PXQ-250626-YZH/ZFY-J2-014；PKF/PXQ-250627-YZH/ZFY-J2-017；LDC/ZFY-250822-YZH/SYY-J2-001；LDC/ZFY-250912-YZH/SYY-J2-001；LDC/ZFY-250918-YZH/SYY-J2-003；YZH/LDC-251017-WYH/SYY-J2-002；,860,mL,,1640,mL,,2022.09.15转来
甲醇,J2,危险化学品,国药,20160128,4L,,,,购置,1,瓶,五双,已开，避光,203,203G-02,5,QHJ/MYM-230225-MYM/CJF-J2-001,1,瓶,,,,,2022.09.15转来
异丙醇,J2,危险化学品,国药,20141022,HPLC500ml,,,,购置,1,瓶,五双,已开,203,203G-01,1,,,,,1,瓶,,2022.09.15转来
异戊醇（3-甲基-1-丁醇）,J2,危险化学品,国药,20140915,AR500ml,,,,购置,1,瓶,五双,,203,203G-01,1,,,,,1,瓶,,2022.09.15转来
四氯化碳,J2,危险化学品,罗恩试剂,RH196792,500ml,,,,购置,2,瓶,五双,避光,203,203G-01,1,,,,,2,瓶,,2022.09.15转来
异丁醇,J2,危险化学品,国药,20140929,AR500ml,,XQN/ZFY-250627-PKF/PXQ-J2-008,,购置,1,瓶,五双,已开,203,203G-01,1,PKF/PXQ-250627-XQN/ZFY-J2-007,,,,1,瓶,,2022.09.15转来
环己酮,J2,危险化学品,国药,20141114,≥99.5%，500mL,,,,购置,1,瓶,五双,已开,203,203G-01,1,,,,,1,瓶,,2022.09.15转来
三甲基氯硅烷,J2,危险化学品,艾科试剂,201807201,GR100ml,,,,购置,1,瓶,五双,避光,203,203G-01,1,,,,,1,瓶,,2022.09.15转来
糠醛,J2,危险化学品,国药,20141105,≥99.0%，500mL,,,,购置,1,瓶,五双,,203,203G-01,2,,,,,1,瓶,,2022.09.15转来
水杨醛,J2,危险化学品,凌峰化学,20170413,CP250ml,,,,购置,1,瓶,五双,写的 水杨酸，避光,203,203G-01,2,,,,,1,瓶,,2022.09.15转来
吡啶,J2,危险化学品,国药,20150109,AR500ml,,,,购置,1,瓶,五双,已开,203,203G-01,2,,,,,1,瓶,,2022.09.15转来
甲醛溶液,J2,危险化学品,国药,20141210,5L,,,,购置,1,瓶,五双,避光,203,203G-01,2,,,,,1,瓶,,2022.09.15转来
甲醛溶液,J2,危险化学品,西陇科学（化工）,160922 2,500ml,,YZH/ZFY-250516-PXQ/PKF-J2-002,,购置,8,瓶,五双,避光,203,203G-01,2,QHJ/MYM-221027-WXY/CJF/J2-002;PXQ/PKF-250516-YZH/ZFY-J2-002；,0.014,瓶,,7.986,瓶,,2022.09.15转来
甲酸,J2,危险化学品,西陇科学（化工）,150624  1,500ml,,,,购置,17,瓶,五双,避光,203,203G-01,3,,,,,17,瓶,,2022.09.15转来
甲酸,J2,危险化学品,国药,20150331,500ml,,,,购置,19,瓶,五双,避光,203,203G-01,3,,,,,19,瓶,,2022.09.15转来
环己烷,J2,危险化学品,国药,20150129,500ml,,,,购置,1,瓶,五双,避光,203,203G-01,4,,,,,1,瓶,,2022.09.15转来
环己烷,J2,危险化学品,艾科试剂,201903101,500ml,,,,购置,1,瓶,五双,避光,203,203G-01,4,,,,,1,瓶,,2022.09.15转来
环己烷,J2,危险化学品,西亚化学,I5678,500ml,,,,购置,1,瓶,五双,避光,203,203G-01,4,,,,,1,瓶,,"2022.09.15转来
251211一瓶开封仅剩余一点点"
环己烷,J2,危险化学品,国药,20190304,500ml,,,,购置,5,瓶,五双,避光,203,203G-01,4,,,,,5,瓶,,2022.09.15转来
苯酚,J2,危险化学品,国药与艾科,201809151/20150108,500g,,YZH/SYY-250912-LDC/ZFY-J2-004；WYH/SYY-250930-YZH/ZFY-J2-002；WYH/SYY-251009-YZH/QDJ-J2-004；WYH/SYY-251010-YZH/QDJ-J2-001；,,购置,3,瓶,五双,避光,203,203G-01,4,LDC/ZFY-250912-YZH/SYY-J2-005；YZH/ZFY-250930-WYH/SYY-J2-003；YZH/QDJ-251009-WYH/SYY-J2-004；YZH/QDJ-251010-WYH/SYY-J2-006；,0.05,瓶,25g,2.95,瓶,,2022.09.15转来
甲基异丁基甲酮,J2,危险化学品,国药,20190306,AR500ml,,,,购置,2,瓶,五双,避光,203,203G-01,4,MYM-220914-MYM-J1-004,1,瓶,,1,瓶,,2022.09.15转来
四氯乙烯,J2,危险化学品,科密欧,/,500ml,,WYH/YZH-251031-YZH/WYH-J2-001,,购置,28,瓶,五双,避光,203,203G-01,5,QHJ/MYM-221027-WXY/CJF-J2-001；MYM/QHJ-221214-CJF/MYM-J2-001；YZH/PXQ-250716-XQN/ZFY-J2-006；YZH/WYH-251031-WYH/YZH-J2-001；,4.06,瓶,,23.94,瓶,,2022.09.15转来
氢氧化钠,J2,危险化学品,/,150522,25KG,,,,购置,1,桶,五双,,203,地面,,MYM-22094-MYM-J12-001,0.08,桶,,0.92,桶,,2022.09.15转来
二硫化碳,J2,危险化学品,国药,20160125,500ml,,,,购置,1,瓶,五双,,203,冰柜,2,QHJ/ZHD-231204-QDJ/WWY-J2-001,1,瓶,,,,,2022.09.15转来
二硫化碳,J2,危险化学品,国药,20190117,500ml,,YZH/SYY-250724-ZFY/PXQ-J2-009；YZH/SYY-250728-ZFY/PXQ-J2-001；,,购置,5,瓶,五双,,203,冰柜,2,ZFY/PXQ-250724-YZH/SYY-J2-015；PXQ/ZFY-250728-YZH/SYY-J2-001；YZH/LDC-251013-SYY/WYH-J2-002；,1,瓶,,4,瓶,,2022.09.15转来
二硫化碳,J2,危险化学品,CNW,Q990287,500ml,,,,购置,1,瓶,五双,,203,冰柜,2,, ,瓶,,,,,2022.09.15转来
二硫化碳,J2,危险化学品,CNW,57240253,500ml,,,,购置,1,瓶,五双,,203,冰柜,2,QHJ/MYM-230323-MYM/CJF-J2-001;,1,瓶,,,,,2022.09.15转来
二硫化碳,J2,危险化学品,CNW,B4760255,500ml,,,,购置,5,瓶,五双,,203,冰柜,2,QHJ/MYM-230412-MYM/CJF-J2-001;QHJ/CJF-230802-CJF/QYT-J2-001,2,瓶,,3,瓶,,2022.09.15转来
二硫化碳,J2,危险化学品,CNW,B4760255,500ml,,QDJ/WWY-231228-QHJ/ZHD-J2-001；YZH/ZFY-250627-PKF/PXQ-J2-012；,,购置,1,瓶,五双,,203,冰柜,2,QHJ/ZHD-231228-QDJ/WWY-J2-001；PKF/PXQ-250627-YZH/ZFY-J2-016,0.041,瓶,,0.959,瓶,,
二硫化碳,J2,危险化学品,西亚试剂,X0145,500ml,,,,购置,3,瓶,五双,,203,冰柜,2,,,,,3,瓶,,2022.09.15转来
二硫化碳,J2,危险化学品,未知,瓶子上写的500mlGR,500ml,,,,购置,3,瓶,五双,,203,冰柜,2,,,,,3,瓶,,2022.09.15转来
环氧丙烷,J2,危险化学品,西亚,N2949,500ml,,,,购置,1,瓶,五双,已开封,203,冰柜,2,,,,,1,瓶,,2022.09.15转来
过硫酸钾,J2,危险化学品,四川众标,CNW,500g,,QDJ-220901-MYM-J1-001,,购置,1,瓶,五双,,203,,,MYM-220901-MYM-J1-001,1,瓶,,,,,2022.09.15转来
氢氧化钾,J2,危险化学品,西亚,,500gGR,,KDY/KDY-230310-QHJ/MYM-J2-001,,购置,1,瓶,五双,,203,,,QHJ/MYM-230310-MYM/CJF-J2-001,1,瓶,,,,,
乙腈,J2,危险化学品,沃凯,20221109,4L，HPLC,,KDY/QDJ-230508-MYM/QHJ-J2-004; LMI/QDJ-240929-LMI/QDJ-J2-001；YZH/ZFY-250626-PKF/PXQ-J2-009；YZH/ZFY-250708-PKF/PXQ-J2-005；YZH/ZFY-250711-PKF/PXQ-J2-002；YZH/SYY-250914-LDC/ZFY-J2-004；YZH/SYY-250926-LDC/ZFY-J2-015；SYY/WYH-251014-YZH/LDC-J2-002；,,购置,4000,mL,五双,,203,203G-02,5,LMI/QDJ-240929-LMI/QDJ-J2-001；PKF/PXQ-250626-YZH/ZFY-J2-013；PKF/PXQ-250708-YZH/ZFY-J2-005；PKF/PXQ-250711-YZH/ZFY-J2-003；LDC/ZFY-250914-YZH/SYY-J2-005；LDC/ZFY-250926-YZH/SYY-J2-019；YZH/LDC-251014-SYY/WYH-J2-004；,1750,mL,,2250,mL,,
甲醇,J2,危险化学品,沃凯,20230104,4L，HPLC,,KDY/QDJ-230508-MYM/QHJ-J2-005,,购置,1,瓶,五双,,203,203G-02,5,QHJ/MYM-230508-CJF/MYM-J3-001,1,瓶,,,,,
次氯酸钠溶液,J2,危险化学品,西亚化学,20230216,AR500毫升，6-14%,,DJ/KDY-230522-QHJ/MYM-J2-005；WYH/SYY-250930-YZH/ZFY-J2-003；WYH/SYY-251009-YZH/QDJ-J2-005；WYH/SYY-251010-YZH/QDJ-J2-002；SYY/WYH-251013-YZH/LDC-J2-001；SYY/WYH-251014-YZH/LDC-J2-001；WYH/YZH-251028-YZH/WYH-J2-002；,,购置,2,瓶,五双,,203,203G-08,2,QHJ/MYM-230503-MYM/CJF-J2-005；YZH/ZFY-250930-WYH/SYY-J2-004；YZH/QDJ-251009-WYH/SYY-J2-005；YZH/QDJ-251010-WYH/SYY-J2-007；YZH/LDC-251013-SYY/WYH-J2-001；YZH/LDC-251014-SYY/WYH-J2-001；YZH/WYH-251028-WYH/YZH-J2-003,1.122,瓶,,0.878,瓶,,
甲醇,J2,危险化学品,国药,201901258,500ml,,YZH/ZFY-250626-PKF/PXQ-J2-011；YZH/ZFY-250708-PKF/PXQ-J2-006,,返还,490,mL,五双,,203,203G-02,2,PKF/PXQ-250626-YZH/ZFY-J2-019；PKF/PXQ-250708-YZH/ZFY-J2-006；PKF/PXQ-250711-YZH/ZFY-J2-002,490,mL,,,,,
甲醇,J2,危险化学品,国药,201901258,500ml,,YZH/ZFY-250711-PKF/PXQ-J2-003；,,返还,500,mL,五双,,203,203G-02,2,PKF/PXQ-250711-YZH/ZFY-J2-002,500,mL,,,,,
N，N-二甲基甲酰胺,J2,危险化学品,永华化学科技（江苏）有限公司,20140527,500ml,,,,购置,1,瓶,五双,,203,203G-03,3,,,,,1,瓶,,
N，N-二甲基甲酰胺,J2,危险化学品,国药,20141230,500ml,,MYM-220701-MYM-J1-001,,购置,1,瓶,五双,避光,203,203G-03,3,,,,,1,瓶,,7.20乙改为甲
N，N-二甲基甲酰胺,J2,危险化学品,沃凯,20140723,500ml,,,,购置,1,瓶,五双,,203,203G-03,3,,,,,1,瓶,,
N，N-二甲基甲酰胺,J2,危险化学品,西陇科学（化工）,150531 1,500ml,,YZH/ZFY-250616-PXQ/PKF-J2-007；WYH/SYY-250818-YZH/ZFY-J2-002；WYH/SYY-250917-YZH/ZFY-J2-003；WYH/SYY-250918-TZH/ZFY-J2-002；WYH/YZH-251118-YZH/WYH-J2-001；,,购置,7500,mL,五双,,203,203G-03,3,PXQ/PKF-250612-YZH/ZFY-J2-007；YZH/ZFY-250818-WXH/SYY-J2-002；YZH/ZFY-250917-WYH/SYY-J2-003；YZH/ZFY-250918-WYH/SYY-J2-002；YZH/WYH-251118-WYH/YZH-J2-002；,90,mL,,7410,mL,,7.20日入库数量改为15
二氧化氯,J2,危险化学品,汝州中渔生物,20190320,500g,,QDJ/WWY-231227-QHJ/ZHD-J2-018,,返还,494.86,g,五双,原212试剂柜-4,203,203G-03,2,,,,,494.86,g,,2023.12.26转移
氯化锌,J2,危险化学品,国药,20150107,AR500g,,QDJ/WWY-231227-QHJ/ZHD-J2-019,,返还,340.5,g,五双,原212试剂柜-5,203,203G-03,2,,,,,340.5,g,,2023.12.26转移
氯化钴,J2,危险化学品,西亚,20210810,AR500g,改国药为西亚,QDJ/WWY-231227-QHJ/ZHD-J2-020,,返还,499.45,g,五双,原212试剂柜-5,203,203G-03,2,,,,,499.45,g,,2023.12.26转移
连二亚硫酸钠,J2,危险化学品,西陇,150509,AR500g,,QDJ/WWY-231227-QHJ/ZHD-J2-021,,返还,482.44,g,五双,原212试剂柜-5,203,203G-03,2,,,,,482.44,g,,2023.12.26转移
亚硫酸氢钠,J2,危险化学品,国药,20141023,AR500g,,QDJ/WWY-231227-QHJ/ZHD-J2-022,,返还,487.11,g,五双,原212试剂柜-5,203,203G-03,2,,,,,487.11,g,,2023.12.26转移
亚硝酸钠,J2,危险化学品,国药,20150109,AR500g,,QDJ/WWY-231227-QHJ/ZHD-J2-023；QDJ/HYI-241231-QDJ/HYI-J2-001；XQN/ZFY-250724-YZH/PXQ-J2-006；WYH/YZH-251107-YZH/WYH-J2-001；,,返还,424.03,g,五双,原212试剂柜-5,203,203G-03,1,QDJ/HYI-241231-QDJ/HYI-J2-001；YZH/PXQ-250724-XQN/ZFY-J2-012；,2.1,g,,421.93,g,,2023.12.26转移
